Dia_mes,Temp_media_C,Vientos,Temp_min,Temp_max
1,8.5,33,1.2,14.4
2,10.3,26,-1.3,17.7
3,11.5,23,3.3,19.4
4,14.2,23,11.5,17
5,14.4,25,7.6,23.6
6,8.9,10,4.7,13.2
7,10.8,17,4.1,18.2
8,11.4,29,6.2,15.8
9,10.4,28,2.6,15.4
10,7.4,20,-1.8,15.3
11,7.7,14,1.9,11.6
12,7.2,15,0,11.6
13,7.4,11,-1.2,14.7
14,7.3,10,5.4,9.4
15,10.2,17,3.7,15.9
16,10.1,25.3,3.2,16.5
17,11.5,26.9,6.4,17.9
18,10.3,23.5,3.3,17.1
19,10.3,31.2,5.4,15.5
20,9.7,32.7,3,15.8
21,8.6,16.3,2.9,13.4
22,11.3,21.1,6.5,17.9
23,7.3,27.2,3.4,15.1
24,9.4,39,1.5,16.9
25,10.4,36,4.3,16.2
26,9.3,35,1.7,15.6
27,11,22,1.8,19.8
28,10.4,16,7.1,15.8
29,8.6,37,2.7,14.2
30,10.4,43,5.2,15.6
